Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2,Incorrect Answer 3
Jednym z kryteriów wprowadzenia euro jest utrzymywanie deficytu budżetowego na odpowiednim poziomie. Zgodnie z kryteriami zbieżności deficyt budżetowy nie może przekroczyć:,3% PKB państwa ubiegającego się o wprowadzenie euro,3% wpływów do budżetu państwa ubiegającego się o przyjęcie euro,60% PKB państwa ubiegającego się o wprowadzenie euro,wysokości inflacji w państwie ubiegającym się o wprowadzenie euro
Dług publiczny to:,finansowe zobowiązanie państwa z tytułu zaciągniętych pożyczek,finansowe zobowiązanie części społeczeństwa z tytułu zaciągniętych pożyczek,finansowe zobowiązanie państwa z tytułu zaciągniętych pożyczek krajowych,finansowe zobowiązanie banku centralnego z tytułu zaciągniętych pożyczek zagranicznych
Funkcja polityki fiskalnej polegająca na wyrównywaniu różnic majątkowych w społeczeństwie przez system podatkowy i świadczenia socjalne to funkcja:,redystrybucyjna,alokacyjna,stabilizacyjna,fiskalna
Funkcja polityki fiskalnej polegająca na dostarczaniu przez państwo dóbr publicznych i korygowaniu negatywnych efektów zewnętrznych to funkcja:,alokacyjna,redystrybucyjna,stabilizacyjna,fiskalna
"Funkcja polityki fiskalnej polegająca na gromadzeniu dochodów budżetowych, głównie z podatków, aby państwo miało środki na funkcjonowanie, to funkcja:",fiskalna,alokacyjna,redystrybucyjna,stabilizacyjna
"Podatek PIT rozliczany według stałej stawki 19%, niezależnie od wysokości dochodu, bez kwoty wolnej i progów podatkowych, to podatek:",liniowy,progresywny (skala podatkowa),ryczałt od przychodów ewidencjonowanych,karta podatkowa
"Uproszczona forma opodatkowania, w której podatek płacony jest od przychodu bez odliczania kosztów, według stawki zależnej od branży, to:",ryczałt od przychodów ewidencjonowanych,podatek liniowy,karta podatkowa,skala podatkowa
W tzw. estońskim CIT podatek dochodowy od osób prawnych jest płacony:,dopiero w momencie wypłaty zysku wspólnikom,"co miesiąc, niezależnie od tego, czy zysk jest wypłacany","wyłącznie w formie zaliczek kwartalnych, bez rozliczenia rocznego","jednorazowo na koniec roku obrotowego, niezależnie od zysku"
"Zjawisko polegające na tym, że nadmierne pożyczanie pieniędzy przez państwo podnosi stopy procentowe i zmniejsza pulę kredytów dostępnych dla prywatnych firm, nazywa się efektem:",wypierania,mnożnikowym,kuli śnieżnej,zdzieranych zelówek
"Polityka fiskalna polegająca na niskich podatkach i wysokich wydatkach publicznych, stosowana zwykle w okresie recesji, to polityka:",ekspansywna,restrykcyjna,pasywna,monetarna
"Automatyczny spadek wpływów z podatku dochodowego w czasie recesji, który łagodzi spadek popytu bez żadnej nowej decyzji rządu, jest przykładem:",automatycznego stabilizatora koniunkturalnego (polityki pasywnej),polityki aktywnej (dyskrecjonalnej),efektu wypierania,krzywej Laffera
Dumping:,jest zabroniony przez prawo Unii Europejskiej,nie polega na eksportowaniu poniżej kosztów produkcji,nie jest stosowany w celu uzyskania nadwyżki bilansu handlowego,występuje powszechnie w handlu między Polską a Rosją
"Sprzedaż na rynku zagranicznym dóbr i usług poniżej ceny osiąganej na rynku krajowym, to:",dumping,benchmarking,franchising,lobbing
Subsydiowanie eksportu polega na:,dopłatach dla producentów towarów eksportowanych,ochronie wolnego handlu,zwolnieniu eksporterów z cła,zwolnieniu eksporterów z cła i ochronie wolnego handlu
Która z poniżej wymienionych swobód nie jest jedną z czterech swobód rynku Unii Europejskiej?,swoboda podatkowa,swoboda przepływu towarów,swoboda przepływu usług,swoboda przepływu kapitału
Który z instrumentów polityki handlowej wiąże się z wydatkami publicznych środków pieniężnych:,subsydia,kontyngent eksportowy,dumping,embargo
Która z wymienionych organizacji międzynarodowych jest kartelem:,OPEC,ASEAN,NAFTA,WTO
Które zdanie jest nieprawdziwe:,Wspólny rynek jest najwyższą formą integracji gospodarek różnych państw,Pierwszym etapem międzynarodowej integracji gospodarczej jest zniesienie ceł,Unia celna polega na swobodnym przepływie towarów pomiędzy państwami tworzącymi unię oraz na wspólnym kształtowaniu polityki celnej wobec państw zewnętrznych,Wspólny rynek jest głębszą formą integracji niż unia celna
Najgłębszą formą międzynarodowej integracji gospodarczej jest:,unia gospodarcza i walutowa,wspólny rynek,zniesienie ceł,unia celna
Wprowadzenie cła na towar X jest korzystne dla:,producentów krajowych towaru X i rządu,eksporterów towaru X i rządu,importerów towaru X i rządu,rządu i społeczeństwa
Instrumentem protekcjonizmu w handlu zagranicznym nie są:,podatki VAT,certyfikaty dopuszczenia produktu na rynek,cła,opłaty wyrównawcze
"W teorii przewag komparatywnych, dla uzyskania obustronnej korzyści międzynarodowego handlu, znaczenie ma:",względny stosunek kosztów produkcji dóbr,bezwzględny poziom nakładów,bezwzględny stosunek kosztów produkcji dóbr,bezwzględny poziom kosztów produkcji dóbr
Różnica między wartością eksportu a importu danego kraju nazywana jest:,eksportem netto,bilansem płatniczym,saldem handlowym brutto,deficytem handlowym
"Zgodnie z teorią przewagi absolutnej Adama Smitha, kraj powinien eksportować te dobra, które:",potrafi wytworzyć mniejszym nakładem pracy (taniej) niż inne kraje,"potrafi wytworzyć w największej ilości, niezależnie od kosztów produkcji",produkuje wyłącznie na potrzeby własnego rynku krajowego,importuje najdrożej spośród wszystkich towarów
"Kraj A potrzebuje 1h pracy na tonę pszenicy i 2h na samochód, a Kraj B potrzebuje 4h na pszenicę i 6h na samochód. Mimo że Kraj A jest bezwzględnie lepszy w produkcji obu dóbr, zgodnie z teorią przewagi komparatywnej powinien wyspecjalizować się w produkcji:","pszenicy, bo ma w niej niższy koszt alternatywny (2 tony pszenicy za samochód, mniej niż w Kraju B)","samochodów, bo ma w nich niższy koszt alternatywny niż Kraj B","obu dóbr jednocześnie, bez potrzeby handlu z Krajem B","tego dobra, które wymaga więcej godzin pracy"
"Pierwszym etapem międzynarodowej integracji gospodarczej, polegającym na zniesieniu ceł przy zachowaniu przez państwa niezależnej polityki handlowej wobec państw trzecich, jest:",strefa wolnego handlu,unia celna,wspólny rynek,unia gospodarcza i walutowa
"Etap integracji gospodarczej, który wprowadza wspólną taryfę celną i ujednoliconą politykę handlową wobec państw trzecich, to:",unia celna,strefa wolnego handlu,wspólny rynek,pełna integracja gospodarcza
"Etap integracji gospodarczej rozszerzający unię celną o cztery swobody przepływu – towarów, usług, kapitału i osób – to:",wspólny rynek,strefa wolnego handlu,unia celna,pełna integracja gospodarcza
"Traktaty Rzymskie, na mocy których powstała poprzedniczka Unii Europejskiej (Europejska Wspólnota Gospodarcza), zostały podpisane w roku:",1958,1973,1986,2004
"Największe pojedyncze rozszerzenie Unii Europejskiej, gdy jednocześnie dołączyło do niej 10 państw, w tym Polska, miało miejsce w roku:",2004,1958,1986,2013
"Porozumienie o wolnym handlu między Stanami Zjednoczonymi, Kanadą i Meksykiem, które w 2020 roku zastąpiło NAFTA, to:",USMCA,ASEAN,WTO,OPEC
"Upodabnianie się gustów konsumentów na całym świecie na skutek masowej turystyki, migracji ludności i globalnych koncernów nazywa się:",kalifornizacją potrzeb,dumpingiem,subsydiowaniem eksportu,protekcjonizmem
"Bank centralny prowadzi ekspansywną politykę pieniężną, jeśli:",obniża stopę rezerw obowiązkowych,podnosi stopę redyskontową,sprzedaje papiery wartościowe,zamraża stopy procentowe RPP
"Bank centralny prowadzi ekspansywną politykę pieniężną, jeśli:",obniża stopę rezerw obowiązkowych,obniża podatek od dochodów kapitałowych,podnosi stopę referencyjną,sprzedaje bankom komercyjnym papiery wartościowe
Funkcją pieniądza nie jest funkcja:,deprecjacji,tezauryzacji,miernika wartości,środka wymiany
Do podstawowych funkcji pieniądza nie należy:,funkcja dostosowawcza,funkcja tezauryzacji,funkcja środka wymiany,funkcja miernika wartości
Funkcja pieniądza związana z przechowywaniem i gromadzeniem bogactwa to funkcja:,środka tezauryzacji,miernika wartości,środka płatniczego,środka wymiany
Stawką referencyjną dla lokat międzybankowych w Polsce jest:,WIBOR,WIBID,LIBID,LIBOR
WIBOR 3M to:,"stopa procentowa, po jakiej banki są gotowe pożyczać sobie nawzajem środki w złotych na okres trzech miesięcy na rynku międzybankowym",podstawowa stopa procentowa Narodowego Banku Polskiego ustalana przez Radę Polityki Pieniężnej na okres trzech miesięcy,wskaźnik inflacji pokazujący tempo wzrostu cen w gospodarce w ciągu trzech miesięcy,"marża banku doliczana do oprocentowania kredytu hipotecznego, aktualizowana co trzy miesiące"
Do klasycznych instrumentów polityki pieniężnej nie zaliczamy:,ustalenia kursu walutowego,operacji otwartego rynku,poziomu rezerw obowiązkowych,wysokości centralnych stóp procentowych
Jakie instrumenty polityki pieniężnej są stosowane przez Narodowy Bank Polski (NBP) w celu wpływania na podaż pieniądza i poziom stóp procentowych?,"instrumenty pośrednie, perswazyjne i bezpośrednie",tylko instrumenty pośrednie i bezpośrednie,tylko transakcje depozytowo-kredytowe,tylko rezerwa obowiązkowa
Do podstawowych zadań banku centralnego nie należy:,prowadzenie działalności kredytowej dla firm i osób fizycznych,emitowanie pieniądza i regulowanie jego obiegu,prowadzenie rachunków banków komercyjnych oraz organizowanie rozliczeń między nimi,obsługa budżetu państwa oraz rachunków instytucji rządowych i centralnych
Które działanie należy do narzędzi restrykcyjnej polityki pieniężnej banku centralnego?,sprzedaż papierów wartościowych na otwartym rynku,obniżenie rezerwy obowiązkowej banków komercyjnych,obniżenie stóp procentowych,zwiększenie podaży pieniądza
Ile obecnie wynosi stopa rezerwy obowiązkowej NBP?,"3,50%","1,50%",10%,"5,10%"
Siedziba Europejskiego Banku Centralnego znajduje się w:,Frankfurcie nad Menem,Manchesterze,Barcelonie,Rotterdamie
NBP jako jedyna instytucja mająca prawo emitowania banknotów i monet pełni funkcję:,banku emisyjnego,banku banków,centralnego banku państwa,banku komercyjnego
Pełnienie roli organu nadzorczego wobec banków komercyjnych oraz funkcji „pożyczkodawcy ostatniej instancji” to funkcja NBP jako:,banku banków,banku emisyjnego,centralnego banku państwa,banku inwestycyjnego
W skład Rady Polityki Pieniężnej wchodzi łącznie:,"10 osób – prezes NBP oraz po 3 osoby powoływane przez Sejm, Senat i Prezydenta",9 osób powoływanych po równo przez trzy organy władzy,15 osób wybieranych w wyborach powszechnych,6 osób powoływanych wyłącznie przez rząd
Członków RPP będących zwolennikami restrykcyjnej polityki monetarnej i dążących do ograniczenia inflacji określa się mianem:,jastrzębi,gołębi,sów,byków
"Jeżeli stopa rezerwy obowiązkowej wynosi 10%, to mnożnik kreacji pieniądza wynosi:",10,"0,1",100,"1,1"
"Operacja, w której bank centralny kupuje papiery wartościowe, wpuszczając pieniądze na rynek, a banki komercyjne zobowiązują się je po pewnym czasie odkupić, to:",repo,reverse repo,swap walutowy,emisja bonów pieniężnych
"Najwyższa stopa procentowa NBP, wyznaczająca cenę awaryjnej pożyczki dla banku komercyjnego pod zastaw papierów wartościowych, to stopa:",lombardowa,referencyjna,depozytowa,redyskontowa
"Stopa procentowa, po jakiej bank komercyjny może zdeponować nadwyżkę gotówki w NBP na jedną noc (tzw. depozyt overnight), to stopa:",depozytowa,lombardowa,referencyjna,dyskontowa
"WIBOR zawsze mieści się w tzw. korytarzu stóp procentowych, którego górną i dolną granicę wyznaczają odpowiednio:",stopa lombardowa i stopa depozytowa,stopa referencyjna i stopa redyskontowa,stopa dyskontowa i stopa lombardowa,WIBID i stopa referencyjna
Cel inflacyjny Narodowego Banku Polskiego wynosi:,"2,5%, z dopuszczalnym odchyleniem o 1 punkt procentowy w górę lub w dół","0%, czyli całkowicie stabilne ceny",5% rocznie,10% rocznie
"WIBID różni się od WIBOR-u tym, że:","jest stopą, po jakiej bank zapłaci za pieniądze przyjęte w depozyt od innego banku, i jest zawsze niższy od WIBOR-u","dotyczy wyłącznie kredytów walutowych, a nie złotowych",jest zawsze wyższy od WIBOR-u,"jest ustalany bezpośrednio przez Radę Polityki Pieniężnej, a nie przez rynek"
"Agregat pieniężny obejmujący gotówkę w obiegu oraz rezerwy banków komercyjnych trzymane w banku centralnym, nazywany pieniądzem największej mocy, to:",M0 (baza monetarna),M1,M2,M3
Etatyzm:,to działalność gospodarcza państwa polegająca na zakładaniu przedsiębiorstw państwowych oraz regulowaniu życia gospodarczego za pomocą środków administracyjnych,"to działalność gospodarcza państwa wspierająca rozwój sektora prywatnego, a zwłaszcza małych i średnich przedsiębiorstw",to nurt ekonomiczny charakterystyczny obecnie dla krajów Europy Zachodniej,to inaczej leseferyzm
Co oznacza etatyzm jako jedna z doktryn dotyczących roli państwa w gospodarce?,ingerencję państwa w działalność gospodarczą,minimalizację ingerencji państwa i udziału budżetu w produkcie krajowym,ograniczenie utrzymywania przedsiębiorstw państwowych,zapewnienie niezależności banku centralnego i prowadzenie rygorystycznej polityki pieniężnej
Efekty zewnętrzne w gospodarce mają najczęściej charakter:,negatywny,pozytywny,neutralny,krótkotrwały
"Jak nazywa się jeden z największych amerykańskich ekonomistów, który zmarł w listopadzie 2006 r., twórca monetaryzmu, laureat nagrody im. Alfreda Nobla w dziedzinie ekonomii w 1976 r., zdecydowany propagator wolnego rynku?",Milton Friedman,Paul Samuelson,Peter F. Drucker,John Maynard Keynes
Państwo opiekuńcze to:,"państwo, które kładzie szczególny nacisk na rozwiązanie problemów społecznych",państwo z niskim poziomem interwencjonizmu państwowego,państwo z niskimi podatkami,państwo z niskimi wydatkami socjalnymi
Celem polityki gospodarczej państwa nie jest:,zwiększenie bezrobocia,zwiększanie konkurencyjności gospodarki,stymulowanie wzrostu gospodarczego,zmniejszanie inflacji
Prowadzenie przez rząd działań mających wpływać na całą gospodarkę – np. na ogólny poziom bezrobocia czy inflacji w kraju – to polityka gospodarcza na poziomie:,makroekonomicznym,mikroekonomicznym,sektorowym,regionalnym
"Politykę fiskalną i politykę pieniężną, dwa główne filary polityki makroekonomicznej, prowadzą odpowiednio:",rząd i bank centralny,bank centralny i rząd,parlament i sądy powszechne,prezydent i rząd
"Koncepcję „niewidzialnej ręki rynku”, według której jednostki dążące do własnego zysku nieświadomie przyczyniają się do wzrostu dobrobytu całego społeczeństwa, sformułował:",Adam Smith,Milton Friedman,John Maynard Keynes,David Ricardo
Podejście do polityki państwa zakładające ograniczenie aktywności gospodarczej państwa do niezbędnego minimum nazywa się:,leseferyzmem,etatyzmem,keynesizmem,monetaryzmem
"John Maynard Keynes uważał, że w sytuacji kryzysu gospodarczego państwo powinno:","aktywnie stymulować popyt za pomocą polityki fiskalnej, nawet kosztem deficytu budżetowego",ograniczyć się wyłącznie do kontroli podaży pieniądza przez bank centralny,całkowicie zrezygnować z interwencji i czekać na samoregulację rynku,przejąć własność wszystkich kluczowych przedsiębiorstw w gospodarce
"Zjawiska, z którymi mechanizm rynkowy nie potrafi sobie poradzić bez pomocy państwa, np. monopole czy brak dóbr publicznych, nazywamy:",zawodnościami (niesprawnościami) rynku,dodatnimi efektami zewnętrznymi,cyklami koniunkturalnymi,kryzysami strukturalnymi
"Zgodnie z zasadą leseferyzmu, w przypadku upadającej, nierentownej fabryki państwo powinno:","pozwolić jej zniknąć z rynku, aby zwolnione zasoby trafiły do bardziej efektywnych firm","dotować ją z budżetu państwa, aby uniknąć zwolnień pracowników",przejąć jej własność i zarządzać nią jako przedsiębiorstwem państwowym,nakazać jej połączenie z konkurencyjną firmą
Koszt alternatywny to:,"najkorzystniejsza alternatywa, z której zrezygnowano przy dokonywaniu konkretnego wyboru",koszt surowców wykorzystywanych w produkcji,koszt związany ze zwiększeniem produkcji danego dobra o dodatkową jednostkę,wartość najmniej cennej niewykorzystanej możliwości
Jaka jest cecha charakterystyczna dla gospodarki centralnie planowanej?,decyzje o produkcji i inwestycjach podejmowane przez władze centralne,wolny obrót dóbr,ceny wyznaczane przez popyt i podaż,wolny rynek
Stosowana w ekonomii zasada ceteris paribus oznacza:,przy pozostałych czynnikach niezmienionych,"co jest dobre dla jednostki, nie jest dobre dla ogółu",potrzeby ludzkie są nieograniczone,przy niezmiennych czynnikach produkcji
Sąd „Kawa pobudza” jest przykładem sądu ekonomicznego:,"pozytywnego – opisuje obiektywny, możliwy do zweryfikowania fakt",normatywnego – wyraża subiektywną ocenę,"mieszanego, łączącego opis z oceną","aksjomatycznego, przyjmowanego bez dowodu"
"Słowo „ekonomia”, utworzone przez Arystotelesa ze złożenia greckich słów oikos i nomos, oznaczało pierwotnie:",wiedzę o działalności w gospodarstwie domowym,naukę o podziale władzy w mieście-państwie,sztukę liczenia i rachowania monet,prawo regulujące handel między miastami
"Analiza tego, dlaczego dana firma na rynku jest monopolistą i nie ma konkurentów, należy do obszaru:",mikroekonomii,makroekonomii,ekonomii normatywnej,polityki gospodarczej państwa
W gospodarce rynkowej mechanizm rynkowy koordynuje działania producentów i konsumentów przede wszystkim poprzez:,decyzje ludzi o zakupie (lub nie) danego dobra po danej cenie,centralny plan produkcji ustalany przez rząd,odgórne ustalanie cen i wynagrodzeń przez państwo,kontyngenty importowe nakładane przez administrację
"Gospodarka, w której rynek kształtuje ceny, popyt i podaż, ale państwo dodatkowo zwalcza monopole, nakłada podatki i dostarcza dobra publiczne, to gospodarka:",mieszana,rynkowa (kapitalizm),centralnie sterowana,naturalna
"Zgodnie z myślą Johna Maynarda Keynesa, ekonomia jest przede wszystkim:","techniką myślenia, która pomaga wyciągać właściwe wnioski, a nie zbiorem faktów do zapamiętania","zbiorem sztywnych, niezmiennych praw rządzących gospodarką",nauką wyłącznie o pieniądzu i jego wartości,działem matematyki stosowanej w handlu
Które ze zdań jest przykładem asertywnej odmowy?,"Nie, nie pożyczę ci 50 złotych. Ostatnim razem, gdy ci pożyczyłem 30 złotych, na zwrot czekałem 2 tygodnie. Przykro mi.","Przepraszam, ale nie pożyczę ci 50 złotych. Nie mogę. Muszę zapłacić za zajęcia dodatkowe.","Nie pożyczę ci 50 złotych. Nigdy nie potrafisz oszczędzać. Zawsze wszystko wydajesz od razu, a później chodzisz i pożyczasz.","Nie wiem, czy ci pożyczę 50 złotych, bo nie wiem, czy mi je oddasz."
W klasyfikacji mocnych stron charakteru wg systemu wartości w działaniu (Values in Action) do cnót poznawczych nie zalicza się:,wytrwałości,ciekawości,kreatywności,zamiłowania do nauki
Który z poniższych elementów nie jest składową techniki asertywnej odmowy:,prośba o więcej czasu do namysłu i powrót do tematu przy najbliższej okazji,jasna informacja o podjętej decyzji,jasne wyartykułowanie odmowy poprzez powiedzenie „nie”,przytoczenie jednego konkretnego powodu odmowy
"Umiejętność wyszukiwania szczególnych zależności między różnymi elementami i łączenia ich w niespotykany sposób, wykraczająca poza wyuczony schemat myślenia, to:",kreatywność,innowacyjność,asertywność,przedsiębiorczość
"W odróżnieniu od kreatywności, będącej procesem myślowym, innowacyjność stanowi:",praktyczne wdrożenie pomysłu w życie,teoretyczne uzasadnienie pomysłu,wyłącznie generowanie nowych idei bez ich realizacji,ocenę ryzyka związanego z danym pomysłem
"Postawa, w której osoba atakuje rozmówcę, nie szanuje jego pozycji i eskaluje konflikt, to postawa:",agresywna,asertywna,uległa,neutralna
"Postawa polegająca na rezygnacji z dbania o własne prawa i godzeniu się na działania z lęku przed reakcją przełożonego, to postawa:",uległa,asertywna,agresywna,dominująca
"Wyrażenia asekuracyjne, takie jak „wiem, że to głupie pytanie...” czy „być może się mylę, ale...”, osłabiające komunikat i obniżające wiarygodność mówiącego, nazywane są:",językiem kobiecym,parafrazą,techniką kanapki,techniką „jestem słoniem”
"Technika „jestem słoniem”, stosowana w sytuacji ataku werbalnego, polega na:",spowolnieniu tempa reakcji i spokojnym przedstawieniu swojego stanowiska,"natychmiastowej, stanowczej ripoście na atak",całkowitym unikaniu odpowiedzi na atak,przyznaniu racji atakującemu bez dyskusji
"Biznesmen, który podejmuje działania wyłącznie wtedy, gdy oczekiwane zyski przewyższają ryzyko, reprezentuje postawę:",neutralną wobec ryzyka,z zamiłowaniem do ryzyka,awersji do ryzyka,obojętności wobec zysku
"Zgodnie ze slajdem, najbardziej pożądaną w biznesie postawą wobec ryzyka jest:","skłonność do ryzyka, ale nie na bardzo wysokim poziomie",całkowita awersja do jakiegokolwiek ryzyka,maksymalne zamiłowanie do ryzyka niezależnie od szans powodzenia,całkowita neutralność i obojętność wobec ryzyka
System wartości w działaniu (VIA) obejmuje 24 mocne strony charakteru pogrupowane w:,6 głównych cnót,4 główne cnoty,8 głównych cnót,12 głównych cnót
Cnoty obywatelskie w systemie VIA obejmują m.in.:,"sprawiedliwość, pracę zespołową i przywództwo","mądrość, kreatywność i ciekawość","odwagę, wytrwałość i uczciwość","umiarkowanie, skromność i samokontrolę"
Etyka biznesu może być ujmowana w teoretyczne ramy wielu stanowisk etyki czystej. Która z poniżej wymienionych etyk nie stanowi właściwego zaplecza teoretycznego dla etyki biznesu:,hedonizm,deontologia,etyka sumienia i odpowiedzialności,prakseologia
Utylitaryzm to stanowisko często przywoływane w etyce biznesu. Co jest jego tezą wiodącą?,maksymalizacja użyteczności,kreowanie dóbr moralnych,wypełnianie obowiązków moralnych,maksymalizacja szczęścia
Deontologia to dziedzina etyki znajdująca szczególne zastosowanie w etyce biznesu. Co jest jej wiodącym nakazem?,wypełnianie obowiązków moralnych,maksymalizacja użyteczności,kreowanie dóbr moralnych,maksymalizacja szczęścia
Najniższym szczeblem w piramidzie społecznej odpowiedzialności biznesu (CSR) Archiego B. Carrolla jest odpowiedzialność:,ekonomiczna,etyczna,prawna,filantropijna
"Piramida Carrolla, zwana piramidą odpowiedzialności, przedstawia czteropoziomowy model obejmujący odpowiedzialność:","ekonomiczną, prawną, etyczną, filantropijną","ekonomiczną, prawną, społeczną, polityczną","ekonomiczną, etyczną, polityczną, filantropijną","prawną, etyczną, społeczną, filantropijną"
Standardem społecznej odpowiedzialności odnoszącym się do zarządzania zasobami ludzkimi jest:,SA 8000,AA 1000,ISO 9001,ISO 14001
Poprawne rozwinięcie zasady 3R to:,"Reduce, Reuse, Recycle","Reduce, Reuse, Resolve","Reduce, Refuse, Recycle","Recycle, Refuse, Reduce"
Jakie działanie zajmuje pierwsze miejsce w hierarchii 3R postępowania z zasobami w gospodarce o obiegu zamkniętym?,redukcja,recykling,ponowne wykorzystanie,reorganizacja
Które z poniższych działań to przykład greenwashingu?,deklarowanie prośrodowiskowych właściwości czy parametrów produktu przy jednoczesnym braku potwierdzenia tych deklaracji w dostępnych danych czy certyfikatach,uwypuklenie istotnej pozytywnej cechy produktu,oferowanie zielonych produktów,uwzględnianie aspektów zrównoważonego rozwoju w marketingu mix
Whistleblowing to:,alarmowanie o nieprawidłowościach w instytucji lub firmie,proces zgłaszania nieprawidłowości w organizacji w celu osiągnięcia korzyści osobistych,procedura stosowana przez firmy do ukrywania nadużyć,forma marketingu opartego na zaufaniu klientów
Jakie podejście do zarządzania przedsiębiorstwem uwzględnia koncepcja 3E?,"uwzględniające zarówno generowanie zysków, jak i przestrzeganie norm etycznych",oparte na generowaniu zysków krótkoterminowych i długoterminowych,oparte na kreatywności i innowacyjności,podejście oparte wyłącznie na przestrzeganiu norm etycznych
"Żelazne prawo odpowiedzialności głosi, że:","ci, którzy w długim okresie nie korzystają ze swojej władzy w sposób uznany za odpowiedzialny, z czasem tę władzę stracą","każda firma musi generować zysk, by przetrwać na rynku",władza i odpowiedzialność są od siebie całkowicie niezależne,odpowiedzialność społeczna zawsze zmniejsza zyski firmy
"Zgodnie z zasadami W. Grunwalda, przedsiębiorstwo powinno kierować się m.in. zasadą maksymalnej użyteczności, opinią ekspertów oraz:",testem opinii społecznej,zasadą minimalizacji kosztów,zasadą maksymalizacji zysku za wszelką cenę,opinią wyłącznie zarządu spółki
"Strategia CSR polegająca na inicjowaniu zmian i wyprzedzaniu problemów społecznych, zanim pojawią się jakiekolwiek naciski zewnętrzne, to strategia:",proaktywna,bierna,reaktywna,interaktywna
"Strategia CSR, w której firma unika odpowiedzialności i nie reaguje na problemy społeczne, dopóki nie przerodzą się w otwarty konflikt, to strategia:",bierna,reaktywna,proaktywna,interaktywna
"Trzy filary ESG to Environmental, Social oraz:",Governance (ład korporacyjny),Growth (wzrost),Globalization (globalizacja),Guarantee (gwarancja)
"W odróżnieniu od CSR, które ma charakter jakościowy, ESG opiera swoją ocenę na:","konkretnych, mierzalnych wskaźnikach i twardych danych (np. ilości wyemitowanych gazów cieplarnianych)","wyłącznie dobrowolnych, niemierzalnych deklaracjach firmy",subiektywnej ocenie zarządu spółki,opiniach klientów zbieranych w ankietach
"Praktyka polegająca na celowym zatajaniu informacji o podejmowanych inicjatywach prośrodowiskowych z obawy przed kontrolą interesariuszy, to:",greenhushing,greencrowding,greenshifting,greenrinsing
"Praktyka polegająca na regularnym zmienianiu przez przedsiębiorstwo swoich celów ESG, zanim poprzednie zdążą zostać faktycznie osiągnięte, to:",greenrinsing,greenhushing,greencrowding,greenshifting
"Manipulacja wizerunkowa firm udających zaangażowanie w CSR, np. odwracanie uwagi od złych warunków pracy poprzez głośne akcje charytatywne, nazywana jest:",whitewashingiem,greenwashingiem,tokenizmem,greenshiftingiem
"Zgodnie z rozporządzeniem SFDR, fundusze mające jako główny, wprost określony cel osiągnięcie konkretnego, mierzalnego efektu ekologicznego lub społecznego, klasyfikowane są jako fundusze:",ciemnozielone (art. 9),neutralne (art. 6),jasnozielone (art. 8),szarozielone
"Standard określający zasady relacji z interesariuszami, etykę organizacji i audyt społeczny, to:",AA 1000,SA 8000,ISO 9001,ISO 14001
"Standard zarządzania środowiskowego, dotyczący działań proekologicznych przedsiębiorstwa, to:",ISO 14001,SA 8000,AA 1000,ISO 9001
Audyt etyczny przedsiębiorstwa rozpoczyna się od etapu:,"inicjatywy, czyli rozpoznania potrzeby przeprowadzenia audytu",powołania komitetu etycznego,przeprowadzenia właściwych działań zespołu,ewaluacji samego audytu
Indeks giełdowy WIG-ESG (dawniej Respect Index) na GPW zrzesza:,"60 największych spółek w Polsce, z WIG20 i mWIG40",wyłącznie spółki z WIG20,wszystkie spółki notowane na NewConnect,20 najmniejszych spółek giełdowych
Przykład parafrazowania to sformułowanie:,"„O ile cię dobrze zrozumiałem, to…”","„Mam wrażenie, że to cię zasmuciło”","„Nie pożyczę ci pieniędzy, bo nie mam pewności, że mi je oddasz”",„W jaki sposób chciałbyś to uzyskać?”
Która z poniższych zasad sprzyja dobrej komunikacji?,parafrazowanie,słuchanie w milczeniu,stosowanie języka dostosowanego do poziomu nadawcy,zadawanie pytań sugerujących
"Komunikat: „Historia, którą pani opowiada, jest niezwykle zajmująca. Proszę kontynuować, śmiało!” to przykład:",podążania,parafrazowania,odzwierciedlania,klaryfikacji
Które z zachowań nie będzie sprzyjać aktywnemu słuchaniu:,unikanie kontaktu wzrokowego,potwierdzające kiwanie głową,"wtrącenia takie jak: rozumiem, opowiedz więcej",zadawanie pytań otwartych
Technika kanapki wykorzystywana w konstruktywnej krytyce polega na:,"opakowaniu krytyki w pozytywne stwierdzenia zgodnie ze schematem: pozytywna informacja na początku, sformułowanie zastrzeżeń, pozytywna informacja na końcu","podzieleniu krytycznego stanowiska na mniejsze części i przedstawieniu kolejnych dopiero, gdy wcześniejsze zostaną zrozumiane",ułożeniu krytycznego stanowiska od najbardziej krytycznych sformułowań do najmniej krytycznych,ułożeniu krytycznego stanowiska od najmniej krytycznych sformułowań do najbardziej krytycznych
"Proces wymiany zakodowanych informacji między co najmniej dwiema osobami, w którym każda z nich naprzemiennie występuje w roli nadawcy i odbiorcy, to:",komunikacja interpersonalna,negocjacje,perswazja,indoktrynacja
"Reakcja odbiorcy na odebrany komunikat, zamykająca pętlę komunikacji, to:",sprzężenie zwrotne,kodowanie,dekodowanie,kanał przekazu
"Typ komunikacji niewerbalnej dotyczący dystansu fizycznego dzielącego nas od rozmówcy, to:",proksemika,kinezjetyka,parajęzyk,chronemika
"Typ komunikacji niewerbalnej dotyczący naszej punktualności, to:",chronemika,kinezjetyka,parajęzyk,proksemika
